index,package_cycles,dram_cycles,package_ms,dram_ms
512,2874186,2818934,1.437093,1.409467
513,1595918,1615990,0.797959,0.807995
514,1737478,1629874,0.868739,0.814937
515,2648678,1668556,1.324339,0.834278
516,1493060,2748920,0.74653,1.37446
517,1643282,1547724,0.821641,0.773862
518,2640290,1810150,1.320145,0.905075
519,1451046,2653378,0.725523,1.326689
520,2695846,1630362,1.347923,0.815181
521,1565828,1485240,0.782914,0.74262
522,1591352,2529920,0.795676,1.26496
523,2617782,1779032,1.308891,0.889516
524,1485588,2706294,0.742794,1.353147
525,2728848,1678522,1.364424,0.839261
526,1609980,1499698,0.80499,0.749849
527,1725514,2568866,0.862757,1.284433
528,2751928,1382680,1.375964,0.69134
529,1559888,2628814,0.779944,1.314407
530,1875272,1496960,0.937636,0.74848
531,1639868,2707558,0.819934,1.353779
532,2733074,1462072,1.366537,0.731036
533,1705314,1662112,0.852657,0.831056
534,1679496,2673142,0.839748,1.336571
535,3006570,1562858,1.503285,0.781429
536,1718700,2522372,0.85935,1.261186
537,1704200,1584374,0.8521,0.792187
538,1895062,2792392,0.947531,1.396196
539,3194242,1454856,1.597121,0.727428
540,1755480,1489650,0.87774,0.744825
541,1739706,2526842,0.869853,1.263421
542,1596132,1259806,0.798066,0.629903
543,1709504,2790752,0.854752,1.395376
544,1768838,1604494,0.884419,0.802247
545,3108480,1527002,1.55424,0.763501
546,1744768,2856898,0.872384,1.428449
547,1549776,1635706,0.774888,0.817853
548,1643412,2529462,0.821706,1.264731
549,2985954,1523502,1.492977,0.761751
550,1453858,1468402,0.726929,0.734201
551,1838914,2583908,0.919457,1.291954
552,1562088,2496144,0.781044,1.248072
553,3208816,1778598,1.604408,0.889299
554,1577120,1866622,0.78856,0.933311
555,1489854,1565962,0.744927,0.782981
556,2131930,2722326,1.065965,1.361163
557,1675492,1643736,0.837746,0.821868
558,1886978,1525146,0.943489,0.762573
559,1911986,2542832,0.955993,1.271416
560,3113164,2030412,1.556582,1.015206
561,1786396,1505132,0.893198,0.752566
562,1685950,2915284,0.842975,1.457642
563,1693444,1577398,0.846722,0.788699
564,1709838,1488304,0.854919,0.744152
565,2963002,2629664,1.481501,1.314832
566,1666754,1692328,0.833377,0.846164
567,1816208,1637854,0.908104,0.818927
568,2481454,2763132,1.240727,1.381566
569,1577540,1511490,0.78877,0.755745
570,2511130,2975636,1.255565,1.487818
571,1663958,1395742,0.831979,0.697871
572,1431100,1741010,0.71555,0.870505
573,2869932,1698662,1.434966,0.849331
574,1692414,1847722,0.846207,0.923861
575,1468760,2668642,0.73438,1.334321
576,2819796,1611692,1.409898,0.805846
577,1716728,1626204,0.858364,0.813102
578,1955126,3071972,0.977563,1.535986
579,1684682,1671628,0.842341,0.835814
580,2784744,1593664,1.392372,0.796832
581,1566522,1675060,0.783261,0.83753
582,1945438,2577316,0.972719,1.288658
583,1616424,1636178,0.808212,0.818089
584,3112668,2835692,1.556334,1.417846
585,1738560,1409310,0.86928,0.704655
586,1411216,1531936,0.705608,0.765968
587,1927976,2813996,0.963988,1.406998
588,2237804,1496062,1.118902,0.748031
589,2556050,2426962,1.278025,1.213481
590,1798630,1709054,0.899315,0.854527
591,1609508,1528924,0.804754,0.764462
592,1605272,2718944,0.802636,1.359472
593,3392688,1665100,1.696344,0.83255
594,1465042,2650038,0.732521,1.325019
595,1734630,1392792,0.867315,0.696396
596,1528276,1525866,0.764138,0.762933
597,1667258,2617128,0.833629,1.308564
598,2780346,1402744,1.390173,0.701372
599,1406060,2571572,0.70303,1.285786
600,2751920,1492454,1.37596,0.746227
601,1548942,2921108,0.774471,1.460554
602,2542180,1553008,1.27109,0.776504
603,1692072,1524058,0.846036,0.762029
604,1767126,2715138,0.883563,1.357569
605,1855664,1515230,0.927832,0.757615
606,1698486,2631996,0.849243,1.315998
607,2698578,1597976,1.349289,0.798988
608,1510474,1473912,0.755237,0.736956
609,2771224,2676356,1.385612,1.338178
610,1837820,1609038,0.91891,0.804519
611,1666020,2616474,0.83301,1.308237
612,1856236,1871740,0.928118,0.93587
613,1764390,1599688,0.882195,0.799844
614,3048882,2620532,1.524441,1.310266
615,1631726,1641728,0.815863,0.820864
616,1578070,1742776,0.789035,0.871388
617,1694550,2928866,0.847275,1.464433
618,3055974,1491244,1.527987,0.745622
619,1649080,1586916,0.82454,0.793458
620,1523392,2736540,0.761696,1.36827
621,1754742,1651476,0.877371,0.825738
622,3219028,1609628,1.609514,0.804814
623,1635686,2535160,0.817843,1.26758
624,1339238,1538126,0.669619,0.769063
625,2870790,1611834,1.435395,0.805917
626,1393660,2492072,0.69683,1.246036
627,1537472,1469154,0.768736,0.734577
628,2988014,2681296,1.494007,1.340648
629,2117740,1587768,1.05887,0.793884
630,1624400,2468138,0.8122,1.234069
631,1964480,1512924,0.98224,0.756462
632,1784064,2521856,0.892032,1.260928
633,1539586,1625176,0.769793,0.812588
634,3126496,2570770,1.563248,1.285385
635,1431078,1542360,0.715539,0.77118
636,1631094,1490164,0.815547,0.745082
637,2958854,2768464,1.479427,1.384232
638,2071568,1737078,1.035784,0.868539
639,1800790,1548912,0.900395,0.774456
640,1570426,2569172,0.785213,1.284586
641,1521960,1367516,0.76098,0.683758
642,2436550,2391812,1.218275,1.195906
643,1480450,2613164,0.740225,1.306582
644,3019734,1447592,1.509867,0.723796
645,1439678,1513324,0.719839,0.756662
646,1585458,2715684,0.792729,1.357842
647,2592984,1406050,1.296492,0.703025
648,1667222,2685140,0.833611,1.34257
649,1818790,1611900,0.909395,0.80595
650,2807844,1790848,1.403922,0.895424
651,1532948,2698986,0.766474,1.349493
652,1645360,1473586,0.82268,0.736793
653,2930060,2686260,1.46503,1.34313
654,1592648,1497036,0.796324,0.748518
655,1986568,1569912,0.993284,0.784956
656,1575492,2744468,0.787746,1.372234
657,1839828,1768384,0.919914,0.884192
658,3054876,1738314,1.527438,0.869157
659,1440238,1591234,0.720119,0.795617
660,1702366,2657792,0.851183,1.328896
661,2497420,1456178,1.24871,0.728089
662,1419044,2964972,0.709522,1.482486
663,2718850,1811424,1.359425,0.905712
664,1656192,1455784,0.828096,0.727892
665,1597192,2678208,0.798596,1.339104
666,2848950,1953068,1.424475,0.976534
667,1746298,1700514,0.873149,0.850257
668,1356172,1751614,0.678086,0.875807
669,2776984,1830022,1.388492,0.915011
670,1843200,2461100,0.9216,1.23055
671,1470148,1403830,0.735074,0.701915
672,2644304,2772520,1.322152,1.38626
673,1731898,1466000,0.865949,0.733
674,1480498,2507896,0.740249,1.253948
675,2890322,1606940,1.445161,0.80347
676,1846694,2630334,0.923347,1.315167
677,2058048,1507926,1.029024,0.753963
678,1642782,1408816,0.821391,0.704408
679,1744368,2487916,0.872184,1.243958
680,2942876,2799030,1.471438,1.399515
681,1916378,1586420,0.958189,0.79321
682,1893248,1589424,0.946624,0.794712
683,1632128,1597894,0.816064,0.798947
684,1568116,2559394,0.784058,1.279697
685,2782878,1626386,1.391439,0.813193
686,1502636,2876996,0.751318,1.438498
687,1558300,1760866,0.77915,0.880433
688,3274672,1753670,1.637336,0.876835
689,1912938,1595492,0.956469,0.797746
690,1815322,2715002,0.907661,1.357501
691,1734738,1780808,0.867369,0.890404
692,1929042,1656686,0.964521,0.828343
693,1252314,1601912,0.626157,0.800956
